Sample	aligner	var_caller	cpu_time	wall_time	compute_efficiency	num_task_threads	cost_per_task	per_vcpu_seconds	theoretical_min_cost_per_task	Fscore(all)	Fscore(SNPts)	Fscore(SNPtv)	Fscore(SNPall)	Fscore(INS50)	Fscore(Del50)	Fscore(Indel50)	YieldBases	WgsCoverageMedian	WgsCoverageMean	cost_per_vcpu_sec	cost_per_vcpu_sec_gb
RIH0_ANA0-HG001-19	bwa2a	alNsort	488156.16000000003	2960.5559	0.8588	192.0	2.697395	2542.48	3.140888448998603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109687606943.0	31.0	31.121273	5.525680552714936e-06	5.037652572351585e-08
RIH0_ANA0-HG001-19	bwa2a	clair3	1895415.7600000002	32173.1853	0.8965874263181884	1536.0	10.192063000000001	1233.9946354166668	11.367617591798522	0.9957155570999513	0.9960264924670573	0.9952193308977055	0.9956229116823814	0.9941139856151205	0.996257359496509	0.9976782517767577	109687606943.0	31.0	31.121273	5.3772176084470245e-06	4.902301871934663e-08
RIH0_ANA0-HG001-19	bwa2a	deep	95906.79999999999	24970.8067	0.18663695558604812	1536.0	7.377117000000001	62.43932291666666	39.52656094735115	0.9971828688494364	0.9973609497224063	0.9968008483810972	0.9970808990517517	0.9962612098753186	0.9979638338100548	0.9982149232416994	109687606943.0	31.0	31.121273	7.691964490526221e-05	7.012610362192885e-07
RIH0_ANA0-HG001-19	bwa2a	lfq2	190503.6	189030.71240000002	0.9650534843479174	73.0	1.5343400000000003	2609.638356164384	1.5899015182943435	0.9230018950269898	0.9908726446824552	0.9859308761820508	0.988401760432253	0.0	0.0	0.0	109687606943.0	31.0	31.121273	8.054126011266979e-06	7.342785785683488e-08
RIH0_ANA0-HG001-19	bwa2a	mrkdup	0.0	407.5754	0.0	192.0	0.371346	0.0	0.371346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109687606943.0	31.0	31.121273	0.0	0.0
RIH0_ANA0-HG001-19	bwa2a	oct	28381091.66	16875.4785	27.618704153077292	4672.0	5.14634	6074.719961472602	0.18633531723560579	0.992548554369793	0.9954871661250797	0.9941915989390413	0.9948393825320605	0.9940228149603344	0.9772287512054699	0.8057238067235126	109687606943.0	31.0	31.121273	1.8132988193872738e-07	1.653148309024162e-09
RIH0_ANA0-HG001-19	bwa2a	sentd	7220152.600000001	1195.2892999999997	71.55308336237438	192.0	0.569791	37604.96145833334	0.007963192824470512	0.997054736425147	0.997142456761575	0.9965457164440855	0.9968440866028303	0.9975231175693527	0.9979533793474167	0.9983288294694922	109687606943.0	31.0	31.121273	7.891675308912446e-08	7.194682725655064e-10
RIH0_ANA0-HG001-19	sent	alNsort	58385.28	1524.7943	0.1994	192.0	1.389257	304.09	6.967186559679037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109715090151.0	31.0	31.114988	2.37946448145834e-05	2.1687668288687566e-07
RIH0_ANA0-HG001-19	sent	clair3	846247.12	33620.4789	0.4651533058286805	1536.0	10.407254	550.9421354166667	22.37381497581589	0.9956459825968367	0.9959494269578525	0.9951625940433998	0.9955560105006261	0.9941313720757431	0.996116607680291	0.9976232706633558	109715090151.0	31.0	31.114988	1.2298126343992758e-05	1.1209147553966319e-07
RIH0_ANA0-HG001-19	sent	deep	461555.6400000001	16659.100899999998	1.0017753006506434	1536.0	4.988439	300.49195312500007	4.979598715161031	0.9972845700605145	0.9974564644038816	0.9969389934498673	0.9971977289268744	0.9963300065653679	0.997992582913377	0.9982685682666048	109715090151.0	31.0	31.114988	1.0807882230623373e-05	9.850862097227074e-08
RIH0_ANA0-HG001-19	sent	lfq2	162156.97999999998	160483.2149	0.9670185956526617	73.0	0.8653029999999999	2221.3284931506846	0.8948152640394555	0.9231044797198179	0.9909548313140342	0.9860386096547082	0.9884967204843712	0.0	0.0	0.0	109715090151.0	31.0	31.114988	5.336205694013295e-06	4.8636934870755865e-08
RIH0_ANA0-HG001-19	sent	mrkdup	48291.840000000004	488.9262	0.5144	192.0	0.445466	251.52	0.8659914463452566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109715090151.0	31.0	31.114988	9.224456968299406e-06	8.407646528480139e-08
RIH0_ANA0-HG001-19	sent	oct	29855619.139999993	15716.9401	29.44363904571732	4672.0	4.5715	6390.329439212327	0.1552627374932088	0.9925726937237792	0.9955032328385868	0.9942333105435956	0.9948682716910913	0.9940763935059086	0.9772213800993752	0.8056160166284292	109715090151.0	31.0	31.114988	1.5312025446744768e-07	1.3956170865530849e-09
RIH0_ANA0-HG001-19	sent	sentd	7276858.880000001	1061.2240000000002	65.44008182501953	192.0	0.6688599999999999	37900.30666666667	0.010220952990072155	0.9971418351686239	0.9972180652778682	0.996663510722309	0.9969407880000886	0.99761047146601	0.9980131195784818	0.9983821359361388	109715090151.0	31.0	31.114988	9.191603286939101e-08	8.377701986380152e-10
RIH0_ANA0-HG001-19	strobe	alNsort	556920.96	1835.7166	1.5801	192.0	1.672542	2900.6299999999997	1.058503892158724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109259878907.0	31.0	31.006763	3.0031945646290635e-06	2.7486709619963313e-08
RIH0_ANA0-HG001-19	strobe	clair3	1138937.0000000002	31565.696900000003	0.6334876569046399	1536.0	9.513362	741.4954427083335	15.017438613538866	0.9941195968854969	0.994413854077596	0.9933373283156356	0.9938755911966157	0.9932096163954143	0.9952956454904456	0.9975113765642776	109259878907.0	31.0	31.006763	8.35284304575231e-06	7.644931633927671e-08
