mqc_id	SNPClass	Sample	TgtRegionSize	TN	FN	TP	FP	Fscore	Sensitivity-Recall	Specificity	FDR	PPV	Precision	AltId	CmpFootprint	AllVarMeanDP	CovBin	Aligner	SNVCaller
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823459.0	4.0	262.0	1.0	0.9905482041587901	0.9849624060150376	0.9999999996002915	0.0038022813688212928	0.9961977186311787	0.9961977186311787	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-bwa2a-sentd-All	All	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2498106321.0	15904.0	3701500.0	9327.0	0.996603363573373	0.9957217456052665	0.9999962663858226	0.002513455895410915	0.997486544104589	0.997486544104589	HG001	wgsHC	-1	-2	bwa2a	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2499618011.0	8565.0	2197149.0	3335.0	0.9972992589075661	0.9961169036420859	0.9999986657979196	0.0015155756642629531	0.998484424335737	0.998484424335737	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2500778197.0	4661.0	1040867.0	2029.0	0.9967966275047596	0.9955419653993006	0.9999991886532136	0.0019455439468556788	0.9980544560531444	0.9980544560531444	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501611866.0	1277.0	210582.0	253.0	0.996380360260614	0.9939724061758056	0.9999998988652166	0.0011999905139089809	0.998800009486091	0.998800009486091	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501596721.0	663.0	226341.0	281.0	0.9979189905340523	0.9970793466194429	0.9999998876717554	0.0012399502254856103	0.9987600497745144	0.9987600497745144	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501795977.0	50.0	27698.0	45.0	0.9982880106683967	0.998198068329249	0.9999999820129221	0.0016220307825397398	0.9983779692174602	0.9983779692174602	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823474.0	6.0	245.0	1.0	0.9859154929577464	0.9760956175298805	0.9999999996002915	0.0040650406504065045	0.9959349593495935	0.9959349593495935	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-deep-All	All	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2498105621.0	15222.0	3702882.0	5944.0	0.9971501010511745	0.995905977885503	0.9999976206026652	0.0016026634843478772	0.9983973365156521	0.9983973365156521	HG001	wgsHC	-1	-2	sent	deep
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2499618392.0	8636.0	2196697.0	5893.0	0.9967038897911783	0.9960840381021823	0.9999976424456926	0.002675486586246192	0.9973245134137538	0.9973245134137538	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2500778729.0	4813.0	1040183.0	3224.0	0.9961516048387212	0.9953942407435052	0.9999987108032365	0.0030898776795632	0.9969101223204369	0.9969101223204369	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501611890.0	775.0	211060.0	381.0	0.9972689214602294	0.9963414921991173	0.9999998476982207	0.001801921103286496	0.9981980788967135	0.9981980788967135	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823724.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501596626.0	686.0	226413.0	363.0	0.9976887909666758	0.9969792909700175	0.9999998548926939	0.0016006984866123398	0.9983993015133876	0.9983993015133876	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501795862.0	67.0	27796.0	24.0	0.9983657489718586	0.9975953773821914	0.9999999904068912	0.0008626887131560029	0.999137311286844	0.999137311286844	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823459.0	3.0	263.0	1.0	0.9924528301886791	0.9887218045112782	0.9999999996002915	0.003787878787878788	0.9962121212121212	0.9962121212121212	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-sent-sentd-All	All	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2498106332.0	14980.0	3702413.0	9886.0	0.9966531587042908	0.9959702942357722	0.9999960426180621	0.0026630398036365066	0.9973369601963635	0.9973369601963635	HG001	wgsHC	-1	-2	sent	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2499618055.0	14705.0	2190965.0	3021.0	0.9959710486456215	0.9933330915322782	0.9999987914168156	0.0013769458875307317	0.9986230541124693	0.9986230541124693	HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2500778216.0	8086.0	1037423.0	1860.0	0.9952292602811217	0.9922659680595767	0.9999992562320782	0.001789695395768044	0.998210304604232	0.998210304604232	HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501611849.0	1457.0	210419.0	239.0	0.9959861218268826	0.9931233362910381	0.9999999044616065	0.0011345403450141937	0.9988654596549859	0.9988654596549859	HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501596696.0	861.0	226168.0	266.0	0.9975146814624346	0.9962075329583445	0.9999998936679233	0.0011747352429405478	0.9988252647570595	0.9988252647570595	HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501795978.0	47.0	27700.0	51.0	0.9982341706007423	0.9983061231844884	0.999999979614645	0.0018377716118338078	0.9981622283881662	0.9981622283881662	HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823477.0	4.0	244.0	1.0	0.9898580121703854	0.9838709677419355	0.9999999996002915	0.004081632653061225	0.9959183673469387	0.9959183673469387	HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-deep-All	All	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2498105646.0	25160.0	3692919.0	5438.0	0.9958742986523446	0.9932330647089532	0.9999978231552492	0.0014703826591105184	0.9985296173408895	0.9985296173408895	HG001	wgsHC	-1	-2	strobe	deep
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-SNPts	SNPts	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2499618340.0	12371.0	2193014.0	4180.0	0.9962406126045665	0.9943905485890219	0.9999983277475033	0.0019024264584738535	0.9980975735415262	0.9980975735415262	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-SNPtv	SNPtv	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2500778702.0	6948.0	1038075.0	2283.0	0.995573470747072	0.9933513425063372	0.9999990870851891	0.002194436914985034	0.997805563085015	0.997805563085015	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-INS_50	INS_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501611904.0	948.0	210873.0	317.0	0.9970095340310299	0.9955245230642854	0.9999998732817191	0.0015010180406269237	0.998498981959373	0.998498981959373	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-INS_gt50	INS_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823724.0	0.0	1.0	2.0	0.5	1.0	0.9999999992005831	0.6666666666666666	0.33333333333333337	0.3333333333333333	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-DEL_50	DEL_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501596657.0	857.0	226211.0	318.0	0.9974095948606362	0.9962258002008209	0.9999998728812022	0.001403793774748487	0.9985962062252515	0.9985962062252515	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-DEL_gt50	DEL_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823725.0	0.0	0.0	0.0			1.0				HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-Indel_50	Indel_50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501795850.0	72.0	27803.0	26.0	0.9982407008473358	0.9974170403587443	0.9999999896074655	0.0009342771928563729	0.9990657228071437	0.9990657228071437	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-Indel_gt50	Indel_gt50	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2501823457.0	2.0	266.0	1.0	0.9943925233644859	0.9925373134328358	0.9999999996002915	0.003745318352059925	0.9962546816479401	0.9962546816479401	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG001-19_DBC0_0-strobe-sentd-All	All	RIH0_ANA0-HG001-19_DBC0_0	2501823725.0	2498106284.0	21198.0	3696243.0	7127.0	0.9961830317467996	0.9942976902659653	0.9999971470470601	0.0019244633941518131	0.9980755366058481	0.9980755366058481	HG001	wgsHC	-1	-2	strobe	sentd
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-SNPts	SNPts	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2523457669.0	11374.0	2258828.0	2390.0	0.996962541543269	0.994989873147852	0.999999052887724	0.0010569524919755637	0.9989430475080244	0.9989430475080244	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-SNPtv	SNPtv	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2524645892.0	6042.0	1075937.0	1323.0	0.996589076058741	0.9944157881067932	0.9999994759663876	0.0012281157752074708	0.9987718842247926	0.9987718842247926	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-INS_50	INS_50	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2525491624.0	1565.0	234682.0	203.0	0.9962473362030173	0.9933755772560074	0.9999999196196171	0.0008642527194158843	0.9991357472805841	0.9991357472805841	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-INS_gt50	INS_gt50	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2525727864.0	7.0	0.0	1.0		0.0	0.9999999996040745	1.0	0.0	0.0	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-DEL_50	DEL_50	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2525475820.0	913.0	251138.0	231.0	0.997727543601764	0.9963777172080254	0.9999999085320964	0.000918967732695758	0.9990810322673043	0.9990810322673043	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-DEL_gt50	DEL_gt50	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2525727871.0	0.0	0.0	0.0			1.0				HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-Indel_50	Indel_50	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2525694355.0	41.0	33475.0	16.0	0.9991493426059964	0.9987767036639217	0.9999999936651084	0.00047774028843569914	0.9995222597115643	0.9995222597115643	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-Indel_gt50	Indel_gt50	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2525727402.0	6.0	463.0	0.0	0.9935622317596567	0.9872068230277186	1.0	0.0	1.0	1.0	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-deep-All	All	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2521853400.0	19948.0	3854523.0	4164.0	0.9968819982728919	0.9948514261688886	0.9999983488361677	0.001079123546429135	0.9989208764535709	0.9989208764535709	HG002	wgsHC	-1	-2	bwa2a	deep
RIH0_ANA0-HG002-19_DBC0_0-bwa2a-sentd-SNPts	SNPts	RIH0_ANA0-HG002-19_DBC0_0	2525727871.0	2523458103.0	11207.0	2258561.0	4894.0	0.99644822237953	0.99506249096824	0.9999980606016392	0.002162181267133652	0.9978378187328664	0.9978378187328664	HG002	wgsHC	-1	-2	bwa2a	sentd
