Sample	aligner	var_caller	cpu_time	wall_time	compute_efficiency	num_task_threads	cost_per_task	per_vcpu_seconds	theoretical_min_cost_per_task	Fscore(all)	Fscore(SNPts)	Fscore(SNPtv)	Fscore(SNPall)	Fscore(INS50)	Fscore(Del50)	Fscore(Indel50)	YieldBases	WgsCoverageMedian	WgsCoverageMean	cost_per_vcpu_sec	cost_per_vcpu_sec_gb
RIH0_ANA0-HG001-19	sent	dysgu	74213.36	2881.0081999999998	0.4032758605189146	64.0	0.753588	1159.58375	1.8686662748182392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	1.0154344177382617e-05	9.244746772423372e-08
RIH0_ANA0-HG001-19	sent	goleft	9.44	3.631	0.1625	16.0	0.000232	0.59	0.0014276923076923076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	2.457627118644068e-05	2.2374798387778542e-07
RIH0_ANA0-HG001-19	sent	manta	113.92	508.0449	0.0018	128.0	0.266253	0.89	147.91833333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	0.002337192766853933	2.127833655277332e-05
RIH0_ANA0-HG001-19	sent	mosdepth	8212.16	389.5266	1.3177	16.0	0.026614	513.26	0.02019731350079684	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	3.2408038810739197e-06	2.9505018439642698e-08
RIH0_ANA0-HG001-19	sent	mrkdup	63290.56	1022.1457	0.4103862217683017	192.0	0.7200949999999999	329.6383333333333	1.7546763555979115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	1.137760512784213e-05	1.035843146993252e-07
RIH0_ANA0-HG001-19	sent	norm_cov_eveness	34.56	3362.9925	0.0006	16.0	0.220307	2.16	367.1783333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	0.006374623842592592	5.803603085020819e-05
RIH0_ANA0-HG001-19	sent	qmap	221684.48	2538.9265	2.7286	32.0	0.332646	6927.64	0.12191087004324562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	1.5005380620240082e-06	1.3661241103776081e-08
RIH0_ANA0-HG001-19	sent	samt	2874.24	2282.2033	0.1574	8.0	0.072888	359.28	0.4630749682337992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	2.5359051436205744e-05	2.3087459398782172e-07
RIH0_ANA0-HG001-19	sent	sentd	7431316.4799999995	2082.6138	58.769724525956406	192.0	0.7104119999999999	38704.77333333333	0.012088060744375913	0.9966531587042908	0.9967038897911783	0.9961516048387212	0.9964277473149498	0.9972689214602294	0.9976887909666758	0.9983657489718586	109839073231.0	31.0	30.70911	9.559705900185264e-08	8.70337450870554e-10
RIH0_ANA0-HG001-19	sent	tiddit	41097.6	872.9963	0.7388	64.0	0.23894	642.15	0.32341635083919873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	5.813964805730749e-06	5.293166297482804e-08
RIH0_ANA0-HG001-19	sent	vb2	8089.28	2893.9291	0.1747	16.0	0.189579	505.58	1.0851688609044077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109839073231.0	31.0	30.70911	2.343583112464892e-05	2.1336515718192168e-07
RIH0_ANA0-HG001-19	strobe	alNsort	573884.16	2018.5657	1.4807	192.0	1.821643	2988.98	1.2302579860876612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	3.174234674816604e-06	2.9045451323790363e-08
RIH0_ANA0-HG001-19	strobe	alignstats	26144.96	1391.6446	0.5871	32.0	0.182331	817.03	0.3105620848237098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	6.9738488794781094e-06	6.381336256433356e-08
RIH0_ANA0-HG001-19	strobe	deep	36610.44	125192.5796	0.47851452073962153	1536.0	36.698296000000006	23.834921875000003	76.69212617263288	0.9958742986523446	0.9959710486456215	0.9952292602811217	0.9956001544633716	0.9959861218268826	0.9975146814624346	0.9982341706007423	109285086998.0	31.0	30.54035	0.0010023997526388648	9.172337966452912e-06
RIH0_ANA0-HG001-19	strobe	dysgu	78623.92	4122.9028	0.29799743742108	64.0	1.0801040000000002	1228.49875	3.6245412354797484	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	1.3737600465608941e-05	1.2570425520053208e-07
RIH0_ANA0-HG001-19	strobe	goleft	11.36	5.1579	0.1377	16.0	0.000338	0.71	0.0024546114742193172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	2.9753521126760564e-05	2.722560044016351e-07
RIH0_ANA0-HG001-19	strobe	manta	126.72	689.8733	0.0014	128.0	0.362669	0.99	259.04928571428576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	0.0028619712752525252	2.618812277017176e-05
RIH0_ANA0-HG001-19	strobe	mosdepth	8249.6	1327.1516	0.3885	16.0	0.086941	515.6	0.2237863577863578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	1.0538814003103181e-05	9.643414570641326e-08
RIH0_ANA0-HG001-19	strobe	mrkdup	51739.84	595.0716	0.5007751835336174	192.0	0.484666	269.4783333333333	0.9678315059066102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	9.367365650918132e-06	8.571494893067672e-08
RIH0_ANA0-HG001-19	strobe	norm_cov_eveness	0.32	1632.2687	0.0	16.0	0.106929	0.02	0.106929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	0.334153125	0.0030576278445577417
RIH0_ANA0-HG001-19	strobe	qmap	203555.84	2453.7492	2.5924	32.0	0.321487	6361.12	0.12401134084246258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	1.5793553257916845e-06	1.44517003113205e-08
RIH0_ANA0-HG001-19	strobe	samt	2714.4	2766.5984	0.1226	8.0	0.090619	339.3	0.7391435562805874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	3.338454170350722e-05	3.0548121999590103e-07
RIH0_ANA0-HG001-19	strobe	sentd	7400656.600000001	1408.2728999999997	61.99026728002755	192.0	0.639565	38545.08645833334	0.01031718410102838	0.9961830317467996	0.9962406126045665	0.995573470747072	0.9959070416758193	0.9970095340310299	0.9974095948606362	0.9982407008473358	109285086998.0	31.0	30.54035	8.642003467638263e-08	7.907760980962039e-10
RIH0_ANA0-HG001-19	strobe	tiddit	40085.76	1255.1667	0.4995	64.0	0.3289	626.34	0.6584584584584585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	8.204908675799088e-06	7.507802666569908e-08
RIH0_ANA0-HG001-19	strobe	vb2	7879.84	1392.938	0.3536	16.0	0.09125	492.49	0.2580599547511312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109285086998.0	31.0	30.54035	1.158018436922577e-05	1.0596307956855721e-07
RIH0_ANA0-HG002-19	bwa2a	alNsort	502986.24	3554.5493	0.737	192.0	3.207783	2619.72	4.35248710990502	0.0	0.0	0.0	0.0	0.0	0.0	0.0	108217195670.0	31.0	30.48771	6.377476648267754e-06	5.8932192881022146e-08
